Lama dei Peligni comune,Lama dei Peligni comune.1
,
Lama dei Peligni – VedutaVista della piazza principale del paese,Lama dei Peligni – VedutaVista della piazza principale del paese
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,Chieti
Amministrazione,Amministrazione
Sindaco,"Tiziana Di Renzo (lista civica ""Lama unita"") dal 04-10-2021"
Territorio,Territorio
Coordinate,42°03′N 14°11′E
Altitudine,669 m s.l.m.
Superficie,"31,37 km²"
Abitanti,1 013[1] (30-11-2025)
Densità,"32,29 ab./km²"
Frazioni,"Corpi Santi, Fonterossi, Vaccarda, Piani Marini, Fico San Martino, Colle Santa Croce, Lami, Decontra, Padre Nostro."
Comuni confinanti,"Civitella Messer Raimondo, Colledimacine, Fara San Martino, Gessopalena, Pacentro (AQ), Taranta Peligna, Torricella Peligna"
Altre informazioni,Altre informazioni
Cod. postale,66010
Prefisso,0872
Fuso orario,UTC+1
Codice ISTAT,069045
Cod. catastale,E424
Targa,CH
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona E, 2 200 GG[3]"
Nome abitanti,lamesi
Patrono,san Sebastiano
Giorno festivo,20 gennaio
Cartografia,Cartografia
Lama dei Peligni,Lama dei Peligni
Lama dei Peligni – MappaPosizione del comune di Lama dei Peligni all'interno della provincia di Chieti,Lama dei Peligni – MappaPosizione del comune di Lama dei Peligni all'interno della provincia di Chieti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
