Quadri comune,Quadri comune.1
,
Quadri – Veduta,Quadri – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,Chieti
Amministrazione,Amministrazione
Sindaco,"Fagnilli Assunta (lista civica ""Si amo Quadri"") dal 4-10-2021"
Territorio,Territorio
Coordinate,41°55′26.47″N 14°17′15.65″E
Altitudine,600 m s.l.m.
Superficie,"7,45 km²"
Abitanti,672[1] (30-11-2025)
Densità,"90,2 ab./km²"
Frazioni,"Mastarcangelo, Pamparièlle, Valle sacchette, Vicenne."
Comuni confinanti,"Borrello, Civitaluparella, Pizzoferrato, Sant'Angelo del Pesco (IS)"
Altre informazioni,Altre informazioni
Cod. postale,66040
Prefisso,0872
Fuso orario,UTC+1
Codice ISTAT,069070
Cod. catastale,H098
Targa,CH
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 2 096 GG[3]"
Nome abitanti,Quadresi
Patrono,san Sebastiano
Giorno festivo,20 gennaio
Cartografia,Cartografia
Quadri,Quadri
Quadri – MappaPosizione del comune di Quadri all'interno della provincia di Chieti,Quadri – MappaPosizione del comune di Quadri all'interno della provincia di Chieti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
