Casalnuovo di Napoli comune,Casalnuovo di Napoli comune.1
,
Casalnuovo di Napoli – VedutaStazione ferroviaria,Casalnuovo di Napoli – VedutaStazione ferroviaria
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Città metropolitana,Napoli
Amministrazione,Amministrazione
Sindaco,Salvatore Esposito (Vicesindaco f.f.) dal 19-07-2025
Territorio,Territorio
Coordinate,40°55′N 14°21′E
Altitudine,26 m s.l.m.
Superficie,"7,83 km²"
Abitanti,46 684[1] (30-11-2025)
Densità,"5 962,2 ab./km²"
Frazioni,"Casarea, Tavernanova, Licignano"
Comuni confinanti,"Acerra, Afragola, Pollena Trocchia, Pomigliano d'Arco, Sant'Anastasia, Casoria, Volla"
Altre informazioni,Altre informazioni
Cod. postale,80013
Prefisso,081
Fuso orario,UTC+1
Codice ISTAT,063017
Cod. catastale,B905
Targa,
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 064 GG[3]"
Nome abitanti,casalnuovesi
Patrono,san Giacomo il Maggiore e san Biagio di Sebaste
Giorno festivo,25 luglio e 3 febbraio
Cartografia,Cartografia
Casalnuovo di Napoli,Casalnuovo di Napoli
Casalnuovo di Napoli – MappaPosizione del comune di Casalnuovo di Napoli nella città metropolitana di Napoli,Casalnuovo di Napoli – MappaPosizione del comune di Casalnuovo di Napoli nella città metropolitana di Napoli
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
