Calice Ligure comune,Calice Ligure comune.1
,
Calice Ligure – VedutaIl municipio di Calice Ligure,Calice Ligure – VedutaIl municipio di Calice Ligure
Localizzazione,Localizzazione
Stato,Italia
Regione,Liguria
Provincia,Savona
Amministrazione,Amministrazione
Sindaco,Alessandro Comi (lista civica Condividere Calice) dal 6-6-2016 (2º mandato dal 4-10-2021)
Data di istituzione,1861
Territorio,Territorio
Coordinate,44°12′18.34″N 8°17′39.88″E
Altitudine,70 m s.l.m.
Superficie,"20,6 km²"
Abitanti,1 678[1] (30-11-2025)
Densità,"81,46 ab./km²"
Frazioni,"Carbuta, Eze e Cravarezza (abbandonata)"
Comuni confinanti,"Bormida, Finale Ligure, Mallare, Orco Feglino, Rialto, Tovo San Giacomo"
Altre informazioni,Altre informazioni
Cod. postale,17020
Prefisso,019
Fuso orario,UTC+1
Codice ISTAT,009016
Cod. catastale,B409
Targa,SV
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona D, 1 437 GG[3]"
Nome abitanti,calicesi
Patrono,san Nicola da Bari
Giorno festivo,prima domenica di maggio (festività religiosa) 6 dicembre (festività religiosa e civilie)
Cartografia,Cartografia
Calice Ligure,Calice Ligure
Calice Ligure – MappaPosizione del comune di Calice Ligure nella provincia di Savona,Calice Ligure – MappaPosizione del comune di Calice Ligure nella provincia di Savona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
