Marcallo con Casone comune,Marcallo con Casone comune.1
,
Marcallo con Casone – VedutaLa chiesa dei santi Nazaro e Celso a Marcallo con Casone,Marcallo con Casone – VedutaLa chiesa dei santi Nazaro e Celso a Marcallo con Casone
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Città metropolitana,Milano
Amministrazione,Amministrazione
Sindaco,Fausto Coatti (lista civica) dal 9-6-2024
Data di istituzione,2-8-1870
Territorio,Territorio
Coordinate,45°29′53.45″N 8°52′34.86″E
Altitudine,147 m s.l.m.
Superficie,"8,21 km²"
Abitanti,6 401[1] (30-11-2025)
Densità,"779,66 ab./km²"
Frazioni,"Barco, Cascina Menedrago, Cascina Nuova,"
Comuni confinanti,"Bernate Ticino, Boffalora sopra Ticino, Magenta, Mesero, Ossona, Santo Stefano Ticino"
Altre informazioni,Altre informazioni
Cod. postale,20010
Prefisso,02
Fuso orario,UTC+1
Codice ISTAT,015134
Cod. catastale,E921
Targa,MI
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 673 GG[3]"
Nome abitanti,marcallesi e casonesi
Patrono,"santi Nazario e Celso, Carlo e Giuseppe"
Giorno festivo,28 luglio e 4 novembre
Cartografia,Cartografia
Marcallo con Casone,Marcallo con Casone
Marcallo con Casone – MappaPosizione del comune di Marcallo con Casone nella città metropolitana di Milano,Marcallo con Casone – MappaPosizione del comune di Marcallo con Casone nella città metropolitana di Milano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
