Valnegra comune,Valnegra comune.1
,
Valnegra – VedutaVeduta,Valnegra – VedutaVeduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Sindaco,Virna Facheris (lista civica) dal 17-4-2016
Territorio,Territorio
Coordinate,45°57′00″N 9°41′26″E
Altitudine,581 m s.l.m.
Superficie,"2,23 km²"
Abitanti,199[1] (30-11-2025)
Densità,"89,24 ab./km²"
Comuni confinanti,"Lenna, Moio de' Calvi, Piazza Brembana, Piazzolo"
Altre informazioni,Altre informazioni
Cod. postale,24010
Prefisso,0345
Fuso orario,UTC+1
Codice ISTAT,016227
Cod. catastale,L642
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 895 GG[3]"
Nome abitanti,valnegresi
Patrono,san Michele Arcangelo
Giorno festivo,29 settembre
Cartografia,Cartografia
Valnegra,Valnegra
Valnegra – MappaPosizione del comune di Valnegra nella provincia di Bergamo,Valnegra – MappaPosizione del comune di Valnegra nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
