Lavenone comune,Lavenone comune.1
,
Lavenone – VedutaVia del Tram a Lavenone,Lavenone – VedutaVia del Tram a Lavenone
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,Franco Delfaccio (lista civica Alleanza per Lavenone) dal 27-5-2019
Territorio,Territorio
Coordinate,45°44′20″N 10°26′15″E
Altitudine,385 m s.l.m.
Superficie,"31,82 km²"
Abitanti,508[1] (30-11-2025)
Densità,"15,96 ab./km²"
Frazioni,"Bisenzio, Presegno"
Comuni confinanti,"Anfo, Bagolino, Collio, Idro, Pertica Bassa, Treviso Bresciano, Vestone"
Altre informazioni,Altre informazioni
Cod. postale,25070
Prefisso,0365
Fuso orario,UTC+1
Codice ISTAT,017087
Cod. catastale,E497
Targa,BS
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 760 GG[3]"
Nome abitanti,lavenonesi
Cartografia,Cartografia
Lavenone,Lavenone
Lavenone – MappaPosizione del comune di Lavenone nella provincia di Brescia,Lavenone – MappaPosizione del comune di Lavenone nella provincia di Brescia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
