Abbadia Cerreto comune,Abbadia Cerreto comune.1
,
Abbadia Cerreto – VedutaLa chiesa parrocchiale di San Pietro,Abbadia Cerreto – VedutaLa chiesa parrocchiale di San Pietro
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Lodi
Amministrazione,Amministrazione
Sindaco,Danilo Denti (lista civica Insieme per Abbadia) dal 10-06-2024
Territorio,Territorio
Coordinate,45°18′47″N 9°35′43″E
Altitudine,64 m s.l.m.
Superficie,"6,2 km²"
Abitanti,281[1] (30-11-2025)
Densità,"45,32 ab./km²"
Frazioni,"Cantarana, Isella San Cipriano, Mirabellino, Padule"
Comuni confinanti,"Bagnolo Cremasco (CR), Casaletto Ceredano (CR), Cavenago d'Adda, Chieve (CR), Corte Palasio, Crespiatica"
Altre informazioni,Altre informazioni
Cod. postale,26834
Prefisso,0371
Fuso orario,UTC+1
Codice ISTAT,098001
Cod. catastale,A004
Targa,LO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 557 GG[3]"
Nome abitanti,cerretesi
Patrono,Maria SS.ma Assunta
Giorno festivo,prima domenica di settembre
Cartografia,Cartografia
Abbadia Cerreto,Abbadia Cerreto
Abbadia Cerreto – MappaPosizione del comune di Abbadia Cerreto nella provincia di Lodi,Abbadia Cerreto – MappaPosizione del comune di Abbadia Cerreto nella provincia di Lodi
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
