Caselle Lurani comune,Caselle Lurani comune.1
,
Caselle Lurani – VedutaLa chiesa parrocchiale,Caselle Lurani – VedutaLa chiesa parrocchiale
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Lodi
Amministrazione,Amministrazione
Sindaco,Davide Vighi (lista civica) dal 25-5-2014
Territorio,Territorio
Coordinate,45°16′53″N 9°21′38″E
Altitudine,80 m s.l.m.
Superficie,"7,68 km²"
Abitanti,3 062[1] (30-11-2025)
Densità,"398,7 ab./km²"
Frazioni,"Calvenzano, Cusanina"
Comuni confinanti,"Bascapè (PV), Casaletto Lodigiano, Castiraga Vidardo, Marudo, Salerano sul Lambro, Valera Fratta"
Altre informazioni,Altre informazioni
Cod. postale,26853
Prefisso,0371
Fuso orario,UTC+1
Codice ISTAT,098012
Cod. catastale,B958
Targa,LO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 628 GG[3]"
Nome abitanti,casellesi
Patrono,santa Caterina d'Alessandria
Giorno festivo,25 novembre
Cartografia,Cartografia
Caselle Lurani,Caselle Lurani
Caselle Lurani – MappaPosizione del comune di Caselle Lurani nella provincia di Lodi,Caselle Lurani – MappaPosizione del comune di Caselle Lurani nella provincia di Lodi
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
