Breme comune,Breme comune.1
,
Breme – VedutaScorcio dell'Abbazia,Breme – VedutaScorcio dell'Abbazia
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Pavia
Amministrazione,Amministrazione
Sindaco,Cesarina Guazzora (lista civica) dal 4-10-2021
Territorio,Territorio
Coordinate,45°08′N 8°38′E
Altitudine,101 m s.l.m.
Superficie,"18,81 km²"
Abitanti,726[1] (30-11-2025)
Densità,"38,6 ab./km²"
Comuni confinanti,"Candia Lomellina, Frassineto Po (AL), Sartirana Lomellina, Valle Lomellina, Valmacca (AL)"
Altre informazioni,Altre informazioni
Cod. postale,27020
Prefisso,0384
Fuso orario,UTC+1
Codice ISTAT,018022
Cod. catastale,B142
Targa,PV
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 812 GG[3]"
Nome abitanti,bremesi
Patrono,San Barnaba
Cartografia,Cartografia
Breme,Breme
Breme – MappaPosizione del comune di Breme nella provincia di Pavia,Breme – MappaPosizione del comune di Breme nella provincia di Pavia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
