Rovescala comune,Rovescala comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Pavia
Amministrazione,Amministrazione
Sindaco,Nicola Dellafiore (lista civica) dal 4-10-2021
Territorio,Territorio
Coordinate,45°01′N 9°21′E
Altitudine,250 m s.l.m.
Superficie,"8,41 km²"
Abitanti,817[1] (30-11-2025)
Densità,"97,15 ab./km²"
Frazioni,"Ca' Bella, Ca' del Vento, Ca' Littorina, Campana di Ferro, Ca' Nicelli, Ca' Nova, Cascina Molino, Cascina Val Madonna, Croce, Luzzano, Mosca, Pieve, Scazzolino"
Comuni confinanti,"Castel San Giovanni (PC), Montù Beccaria, San Damiano al Colle, Santa Maria della Versa, Ziano Piacentino (PC)"
Altre informazioni,Altre informazioni
Cod. postale,27040
Prefisso,0385
Fuso orario,UTC+1
Codice ISTAT,018131
Cod. catastale,H614
Targa,PV
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 720 GG[3]"
Nome abitanti,rovescalesi
Giorno festivo,22 agosto
Cartografia,Cartografia
Rovescala,Rovescala
Rovescala – MappaPosizione del comune di Rovescala nella provincia di Pavia,Rovescala – MappaPosizione del comune di Rovescala nella provincia di Pavia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
