Besano comune,Besano comune.1
,
Besano – VedutaChiesa dedicata a Maria nascente sulla sommità del colle di San Martino,Besano – VedutaChiesa dedicata a Maria nascente sulla sommità del colle di San Martino
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Varese
Amministrazione,Amministrazione
Sindaco,Leslie Giovanni Mulas (lista civica di centro-destra Besano ideale) dal 5-6-2016
Territorio,Territorio
Coordinate,45°53′13.7″N 8°54′09.23″E
Altitudine,350 m s.l.m.
Superficie,"3,43 km²"
Abitanti,2 521[1] (30-11-2025)
Densità,"734,99 ab./km²"
Frazioni,"Belvedere, Bernasca, M.o. Ginaga, Monte San Martino, Novella"
Comuni confinanti,"Bisuschio, Cuasso al Monte, Mendrisio (CH-TI), Porto Ceresio, Viggiù"
Altre informazioni,Altre informazioni
Cod. postale,21050
Prefisso,0332
Fuso orario,UTC+1
Codice ISTAT,012011
Cod. catastale,A819
Targa,VA
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 608 GG[3]"
Nome abitanti,besanesi
Patrono,san Martino
Giorno festivo,11 novembre
Cartografia,Cartografia
Besano,Besano
Besano – MappaPosizione del comune di Besano nella provincia di Varese,Besano – MappaPosizione del comune di Besano nella provincia di Varese
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
