Brovello-Carpugnino comune,Brovello-Carpugnino comune.1
,
Brovello-Carpugnino – Veduta,Brovello-Carpugnino – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Verbano-Cusio-Ossola
Amministrazione,Amministrazione
Sindaco,Davide Inzaghi (lista civica) dal 12-6-2022
Data di istituzione,1928
Territorio,Territorio
Coordinate,45°50′43″N 8°32′01″E
Altitudine,445 m s.l.m.
Superficie,"8,22 km²"
Abitanti,802[1] (30-11-2025)
Densità,"97,57 ab./km²"
Frazioni,"Brovello, Carpugnino, Graglia Piana, Stropino, Cascinone, Locco"
Comuni confinanti,"Armeno (NO), Gignese, Lesa (NO), Massino Visconti (NO), Stresa"
Altre informazioni,Altre informazioni
Cod. postale,28833
Prefisso,0323
Fuso orario,UTC+1
Codice ISTAT,103013
Cod. catastale,B207
Targa,VB
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 883 GG[3]"
Nome abitanti,brovellesi
Patrono,san Rocco
Cartografia,Cartografia
Brovello-Carpugnino,Brovello-Carpugnino
Brovello-Carpugnino – MappaPosizione di Brovello-Carpugnino nella provincia del Verbano-Cusio-Ossola,Brovello-Carpugnino – MappaPosizione di Brovello-Carpugnino nella provincia del Verbano-Cusio-Ossola
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
