Cossombrato comune,Cossombrato comune.1
,
Cossombrato – Veduta,Cossombrato – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Asti
Amministrazione,Amministrazione
Sindaco,Elsa Ormea (lista civica Insieme per il paese) dal 10-6-2014
Territorio,Territorio
Coordinate,44°59′38″N 8°08′14″E
Altitudine,275 m s.l.m.
Superficie,"5,4 km²"
Abitanti,505[1] (30-11-2025)
Densità,"93,52 ab./km²"
Frazioni,Madonna dell'Olmetto
Comuni confinanti,"Asti, Castell'Alfero, Chiusano d'Asti, Corsione, Montechiaro d'Asti, Villa San Secondo"
Altre informazioni,Altre informazioni
Cod. postale,14020
Prefisso,0141
Fuso orario,UTC+1
Codice ISTAT,005049
Cod. catastale,D101
Targa,AT
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 713 GG[3]"
Nome abitanti,cossombratesi
Patrono,santo Stefano
Giorno festivo,27 dicembre
Cartografia,Cartografia
Cossombrato,Cossombrato
Cossombrato – MappaMappa di localizzazione del comune di Cossombrato nella provincia di Asti,Cossombrato – MappaMappa di localizzazione del comune di Cossombrato nella provincia di Asti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
