Casalvolone comune,Casalvolone comune.1
,
Casalvolone – VedutaVeduta con la Pieve di San Pietro,Casalvolone – VedutaVeduta con la Pieve di San Pietro
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Novara
Amministrazione,Amministrazione
Sindaco,Ezio Piantanida (lista civica Uniti concreti) dall'11-6-2017 (2º mandato dal 12-6-2022)
Territorio,Territorio
Coordinate,45°24′N 8°28′E
Altitudine,141 m s.l.m.
Superficie,"17,49 km²"
Abitanti,885[1] (30-11-2025)
Densità,"50,6 ab./km²"
Frazioni,Pisnengo
Comuni confinanti,"Borgo Vercelli (VC), Casalbeltrame, Casalino, San Nazzaro Sesia, Villata (VC)"
Altre informazioni,Altre informazioni
Cod. postale,28060
Prefisso,0161
Fuso orario,UTC+1
Codice ISTAT,003041
Cod. catastale,B920
Targa,NO
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 603 GG[3]"
Nome abitanti,casalvolonesi
Patrono,san Pietro Apostolo
Giorno festivo,29 giugno
Cartografia,Cartografia
Casalvolone,Casalvolone
Casalvolone – MappaPosizione di Casalvolone nel territorio della provincia di Novara,Casalvolone – MappaPosizione di Casalvolone nel territorio della provincia di Novara
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
