Vaprio d'Agogna comune,Vaprio d'Agogna comune.1
,
Vaprio d'Agogna – Veduta,Vaprio d'Agogna – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Novara
Amministrazione,Amministrazione
Sindaco,Silvano Mellone (lista civica Nuovi orizzonti) dal 22-9-2020
Territorio,Territorio
Coordinate,45°36′N 8°33′E
Altitudine,251 m s.l.m.
Superficie,"10,01 km²"
Abitanti,952[1] (30-11-2025)
Densità,"95,1 ab./km²"
Comuni confinanti,"Barengo, Cavaglietto, Mezzomerico, Momo, Oleggio, Suno"
Altre informazioni,Altre informazioni
Lingue,Italiano
Cod. postale,28010
Prefisso,0321
Fuso orario,UTC+1
Codice ISTAT,003153
Cod. catastale,L668
Targa,NO
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 606 GG[3]"
Nome abitanti,vapriesi
Patrono,san Lorenzo
Giorno festivo,10 agosto
Soprannome,Vaver(dialetto)
Cartografia,Cartografia
Vaprio d'Agogna,Vaprio d'Agogna
Vaprio d'Agogna – MappaPosizione di Vaprio d'Agogna nel territorio della provincia di Novara,Vaprio d'Agogna – MappaPosizione di Vaprio d'Agogna nel territorio della provincia di Novara
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
