Buccheri comune,Buccheri comune.1
,
Buccheri – Veduta,Buccheri – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Libero consorzio comunale,Siracusa
Amministrazione,Amministrazione
Sindaco,"Alessandro Caiazzo (lista civica) dal 10-6-2013 (2º mandato dall'11-6-2018, 3º mandato dal 30-5-2023)"
Territorio,Territorio
Coordinate,37°07′30″N 14°51′07″E
Altitudine,820 m s.l.m.
Superficie,"57,83 km²"
Abitanti,1 694[1] (30-11-2025)
Densità,"29,29 ab./km²"
Comuni confinanti,"Buscemi, Carlentini, Ferla, Francofonte, Giarratana (RG), Vizzini (CT)"
Altre informazioni,Altre informazioni
Cod. postale,96010
Prefisso,0931
Fuso orario,UTC+1
Codice ISTAT,089003
Cod. catastale,B237
Targa,SR
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona D, 1 720 GG[3]"
Nome abitanti,buccheresi
Patrono,sant'Ambrogio
Giorno festivo,7 dicembre
Cartografia,Cartografia
Buccheri,Buccheri
Buccheri – MappaPosizione del comune di Buccheri nel libero consorzio comunale di Siracusa,Buccheri – MappaPosizione del comune di Buccheri nel libero consorzio comunale di Siracusa
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
