Castelnuovo Berardenga comune,Castelnuovo Berardenga comune.1
,
Castelnuovo Berardenga – VedutaPanorama del borgo e della chiesa della Compagnia di Maria Santissima del Patrocinio,Castelnuovo Berardenga – VedutaPanorama del borgo e della chiesa della Compagnia di Maria Santissima del Patrocinio
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Siena
Amministrazione,Amministrazione
Sindaco,Fabrizio Nepi (PD) dal 26-5-2014 (2º mandato dal 27-5-2019)
Territorio,Territorio
Coordinate,43°20′50″N 11°30′15″E
Altitudine,351 m s.l.m.
Superficie,"177,11 km²"
Abitanti,8 763[1] (30-11-2025)
Densità,"49,48 ab./km²"
Frazioni,"Casetta, Monteaperti, Pianella, Pievasciata, Ponte a Bozzone, Quercegrossa, San Giovanni a Cerreto, San Gusmè, Vagliagli, Villa a Sesta[2]"
Comuni confinanti,"Asciano, Bucine (AR), Castellina in Chianti, Gaiole in Chianti, Monteriggioni, Radda in Chianti, Rapolano Terme, Siena"
Altre informazioni,Altre informazioni
Cod. postale,53019
Prefisso,0577
Fuso orario,UTC+1
Codice ISTAT,052006
Cod. catastale,C227
Targa,SI
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona D, 2 099 GG[4]"
Nome abitanti,"castelnovini, castelnuovini[5]"
Patrono,santi Giusto e Clemente
Giorno festivo,5 giugno
Cartografia,Cartografia
Castelnuovo Berardenga,Castelnuovo Berardenga
Castelnuovo Berardenga – MappaPosizione del comune di Castelnuovo Berardenga all'interno della provincia di Siena,Castelnuovo Berardenga – MappaPosizione del comune di Castelnuovo Berardenga all'interno della provincia di Siena
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
