Pozzoleone comune,Pozzoleone comune.1
,
Pozzoleone – VedutaChiesa parrocchiale di Santa Maria e San Valentino,Pozzoleone – VedutaChiesa parrocchiale di Santa Maria e San Valentino
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Vicenza
Amministrazione,Amministrazione
Sindaco,Edoardo Tomasetto (lista civica) dal 26-5-2019
Territorio,Territorio
Coordinate,45°38′58″N 11°40′28″E
Altitudine,56 m s.l.m.
Superficie,"11,26 km²"
Abitanti,2 748[1] (30-11-2025)
Densità,"244,05 ab./km²"
Frazioni,"Friola, Scaldaferro[2]"
Comuni confinanti,"Bressanvido, Carmignano di Brenta (PD), Cartigliano, Cittadella (PD), Nove, San Pietro in Gu (PD), Sandrigo, Schiavon, Tezze sul Brenta"
Altre informazioni,Altre informazioni
Cod. postale,36050
Prefisso,0444
Fuso orario,UTC+1
Codice ISTAT,024082
Cod. catastale,G957
Targa,VI
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona E, 2 400 GG[4]"
Nome abitanti,pozzoleonesi
Patrono,san Valentino
Giorno festivo,14 febbraio
Cartografia,Cartografia
Pozzoleone,Pozzoleone
Pozzoleone – MappaPosizione del comune di Pozzoleone all'interno della provincia di Vicenza,Pozzoleone – MappaPosizione del comune di Pozzoleone all'interno della provincia di Vicenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
